Frame,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z
11,930.8363,253.9728,-124.3249,929.5676,241.2413,-91.3688,930.4738,241.0958,-91.405,931.1332,241.0412,-91.4211,921.7319,240.6925,-125.1104,917.9464,240.2968,-125.0396,913.1045,239.8855,-125.0232,918.0137,245.3578,63.654,895.6233,244.4467,-90.0044,928.8068,267.8255,-65.4379,920.962,268.2344,-110.1329,934.8801,319.3794,177.4369,862.0467,316.7758,-208.3522,1023.2722,324.836,132.3453,936.0027,336.2086,-432.2414,1113.7482,311.9053,-57.0017,1012.5859,315.2017,-503.2828,1139.35,304.4936,-88.3549,1026.7748,310.0871,-552.9513,1140.7627,299.2905,-121.4914,1027.6196,303.6282,-539.5681,1131.9598,301.614,-79.6225,1025.2317,305.7492,-499.2628,937.5461,506.1481,108.8919,887.4959,501.7345,-109.0037,937.785,657.3631,137.4255,870.9106,660.4483,-198.2762,942.2477,800.0467,248.6592,852.5292,819.5955,-173.0963,929.1873,821.9059,251.3558,839.9851,844.6142,-179.0833,1008.3001,829.2446,141.3054,894.8135,861.4433,-345.2573
12,930.8933,253.8811,-121.7026,929.5781,241.1809,-88.2904,930.4832,241.047,-88.3196,931.137,240.9955,-88.3198,921.7631,240.6208,-121.0955,918.0011,240.2153,-121.0204,913.1847,239.7773,-120.9857,917.9867,245.2945,67.9997,895.6895,244.4096,-80.9422,928.8416,267.7281,-62.5805,921.0207,268.1742,-106.0975,935.311,320.0835,179.337,861.9894,316.7664,-204.5905,1026.225,324.8784,128.1404,931.5638,336.0834,-435.8762,1116.6885,311.6194,-73.6912,1010.8873,315.1706,-511.7047,1140.1394,304.4606,-107.5988,1026.4322,308.9823,-562.7292,1141.733,299.2923,-140.2007,1027.6275,302.0766,-549.9972,1133.1355,301.598,-96.2962,1024.9152,304.6198,-508.3269,936.6605,506.4014,108.8969,885.9789,501.8579,-109.0104,937.7932,657.5741,143.6462,870.4733,660.6976,-197.9566,942.3585,800.0802,257.624,852.6018,819.6802,-173.4485,929.2711,821.8876,260.4641,840.0129,844.698,-180.1385,1008.3718,829.1846,150.4503,894.8919,861.5227,-347.1259
13,930.9476,253.8052,-119.9583,929.5841,241.1334,-86.1778,930.4879,241.0076,-86.2038,931.1381,240.9556,-86.1955,921.7864,240.5678,-118.4592,918.0383,240.1529,-118.382,913.2366,239.6957,-118.3373,917.9508,245.2376,70.9269,895.7343,244.3931,-75.9566,928.8902,267.6425,-60.6427,921.0799,268.1307,-103.5035,935.5948,320.4763,180.8954,861.9597,316.7641,-201.8201,1027.8233,324.8899,125.5744,928.9602,335.9237,-438.8135,1118.3537,311.3216,-81.0098,1009.5261,315.023,-517.9551,1140.701,304.4093,-115.8576,1026.0888,308.2213,-569.6055,1142.4392,299.2917,-148.1857,1027.0618,301.387,-557.6231,1133.9531,301.564,-103.5996,1024.6095,303.634,-515.0831,936.0583,506.6745,109.0665,885.2099,502.0139,-109.1852,937.7967,657.7691,147.4529,870.2098,660.9024,-197.7956,942.3865,800.1531,262.8722,852.6316,819.7269,-174.5448,929.2963,821.8726,265.7907,840.0326,844.7207,-181.9141,1008.4175,829.1136,155.9343,894.9502,861.5331,-349.6131
14,931.0028,253.756,-118.472,929.5916,241.1064,-84.5399,930.4943,240.9856,-84.5642,931.1402,240.9321,-84.5519,921.8072,240.5407,-116.3552,918.0652,240.1206,-116.2774,913.2686,239.654,-116.2261,917.9197,245.2064,72.7052,895.7529,244.3915,-72.5635,928.9453,267.584,-59.1616,921.1322,268.1115,-101.4335,935.8128,320.7566,181.6322,861.946,316.765,-198.6822,1028.8645,324.894,122.2995,927.6571,335.6457,-439.2367,1119.3463,311.1196,-88.4759,1008.621,314.6955,-520.4417,1141.0871,304.3822,-124.0659,1025.8355,307.6365,-572.3833,1142.9133,299.2922,-156.1116,1026.7646,300.796,-560.6324,1134.4884,301.539,-111.0234,1024.4087,302.7681,-517.7625,935.7428,506.8379,109.1113,884.8262,502.1053,-109.2321,937.7974,657.7834,148.317,870.0768,660.9449,-197.8447,942.4427,800.2279,263.2793,852.6353,819.7307,-178.24,929.3598,821.8688,266.1609,840.3639,844.7126,-186.0521,1008.4536,829.0565,156.7558,894.9529,861.5202,-353.4499
15,931.0756,253.7159,-117.9277,929.6057,241.0839,-83.8683,930.5056,240.9662,-83.8922,931.1449,240.9095,-83.8777,921.8404,240.5207,-115.4015,918.1047,240.0954,-115.3231,913.3197,239.6215,-115.268,917.8893,245.1786,73.5032,895.7812,244.3917,-70.8489,929.0301,267.5289,-58.5768,921.2092,268.1037,-100.4907,936.004,320.9855,181.7956,861.9428,316.7744,-196.6874,1029.4597,324.8959,118.2295,927.1684,335.2657,-439.8446,1119.9909,310.9969,-96.3896,1008.0844,313.9982,-522.7186,1141.3677,304.373,-132.5498,1024.7919,307.4169,-574.9296,1143.2611,299.2946,-164.3877,1026.649,300.094,-563.3066,1134.8589,301.5214,-118.9364,1023.7229,302.1561,-520.1767,935.5623,506.9489,109.1178,884.5913,502.1648,-109.2398,937.8003,657.7901,149.0584,869.979,660.9568,-197.8656,942.4573,800.232,263.7936,852.6359,819.7306,-180.1905,929.3798,821.8601,266.6588,840.6762,844.6712,-188.221,1008.4604,829.0233,157.5604,894.9204,861.4883,-355.4576
16,932.4888,252.4327,-156.7919,930.9793,240.198,-122.181,931.8994,240.0418,-122.2115,932.5503,239.8675,-122.1922,923.2139,239.5243,-153.284,919.1573,238.9868,-153.2091,914.4477,238.3855,-153.1642,919.6682,244.0808,42.486,897.0755,243.82,-98.8377,930.9796,265.7748,-95.1796,922.6485,266.7141,-136.3023,939.0142,320.9664,158.7686,862.169,315.8742,-219.0562,1032.1366,324.4623,71.4856,927.702,334.3189,-462.3198,1121.7278,310.9262,-173.4001,1011.0594,312.4602,-538.2231,1143.3308,304.3702,-214.5473,1026.95,306.0609,-591.6337,1145.6908,299.3122,-245.9373,1028.484,298.2436,-578.8242,1136.9444,301.5246,-196.8303,1025.3422,300.3225,-534.7452,932.7674,507.4188,108.9598,880.4856,502.2689,-109.0763,938.5939,657.5801,148.9737,869.9528,661.1032,-185.2179,942.5515,800.1102,271.0643,852.5565,819.6941,-153.151,929.6127,821.8031,274.6225,840.6643,844.5616,-159.3211,1008.4655,829.0184,161.8624,894.859,861.4474,-329.3776
17,933.2059,251.869,-158.9992,931.699,239.952,-124.5482,932.6274,239.8097,-124.5811,933.2571,239.6154,-124.5689,923.9483,239.2042,-155.8346,919.9311,238.5533,-155.7668,915.3279,237.8498,-155.7244,920.4374,243.7695,39.6259,897.945,243.5265,-102.1902,931.7578,264.9581,-97.4832,923.3196,266.0836,-138.7458,940.2921,320.9987,156.8841,862.4221,315.5887,-221.9839,1032.909,324.2481,77.3751,927.3995,333.5694,-470.4726,1123.12,311.037,-155.3797,1011.3216,312.2235,-553.8871,1144.5941,304.4807,-194.5246,1027.1545,306.0515,-608.4816,1147.4339,299.5453,-226.5528,1028.8911,298.2022,-595.515,1138.5705,301.8944,-178.8802,1025.5871,300.2336,-550.752,931.2759,508.0006,109.0103,878.7789,502.5191,-109.1233,939.2479,657.2408,136.1198,869.8504,661.1999,-173.152,942.613,800.6517,252.1706,852.6012,819.5475,-127.0253,929.903,822.3208,254.6123,841.6205,844.2985,-132.0873,1008.3587,829.0154,137.7286,894.7989,860.9069,-301.3889
18,933.768,251.5247,-162.1904,932.0971,239.8285,-127.8277,933.013,239.6873,-127.8606,933.6116,239.4743,-127.8478,924.5294,239.0307,-157.9062,920.5601,238.2864,-157.836,916.0098,237.5408,-157.7869,920.6276,243.5794,35.8606,898.3882,243.3593,-101.0503,932.1646,264.5775,-101.0298,923.8876,265.755,-140.7001,941.2714,321.1969,150.6349,862.4649,315.4424,-221.2458,1033.1477,324.1813,62.9823,927.6224,329.6424,-470.9833,1123.6739,311.1924,-175.9218,1011.4414,309.2027,-556.0301,1145.1575,304.4662,-216.8722,1027.3814,304.1377,-610.8742,1147.5962,299.4342,-248.2113,1029.0443,296.6216,-598.4539,1138.8532,301.8617,-199.1936,1025.9215,297.9273,-553.4329,930.6481,508.2008,108.9177,877.8025,502.6427,-109.0287,940.1522,657.1945,134.3039,869.8508,661.2813,-166.8914,942.5325,800.8398,249.3515,852.6435,819.5151,-123.3764,930.4084,821.9639,251.8086,842.5506,843.824,-128.6327,1008.1408,829.1977,136.9133,894.7843,860.2854,-295.5339
19,934.3447,251.125,-163.0428,932.4466,239.6108,-129.0787,933.3306,239.4522,-129.1101,933.8923,239.2103,-129.0963,925.0927,238.7521,-159.2345,921.1721,237.9166,-159.1636,916.6718,237.1512,-159.1156,920.8055,243.2393,33.4587,898.7469,243.0342,-103.3182,932.7739,263.9855,-102.1939,924.6577,265.1568,-141.9797,941.852,321.2019,148.3475,862.5818,315.3102,-223.4303,1033.3014,324.126,68.7085,927.8119,327.1972,-471.6692,1123.7106,311.6083,-160.631,1011.8309,308.2775,-554.6988,1145.2044,304.4625,-199.7424,1027.7489,303.6658,-609.3914,1147.5493,299.3635,-232.1059,1029.7034,296.0218,-596.9447,1138.9058,301.854,-183.9779,1026.3654,297.329,-552.1279,930.0998,508.4044,108.721,877.03,502.809,-108.828,940.4862,657.2012,135.62,869.9036,661.3973,-165.8092,942.2094,800.6826,250.6791,852.7534,819.6164,-127.5731,930.6774,820.5817,253.1933,843.2128,843.7514,-133.5297,1007.321,829.232,139.5973,894.7846,859.7715,-299.9758
20,937.3885,252.2863,-222.3871,935.7656,240.6865,-186.7812,936.8855,240.5509,-186.8469,937.7351,240.3427,-186.8479,927.8202,240.0379,-216.8072,923.6813,239.4639,-216.7395,919.1493,239.0301,-216.6964,925.5516,244.5514,-13.0621,902.1419,245.0781,-149.4628,936.6317,265.222,-157.3901,927.6268,266.7688,-197.2166,943.9898,322.2328,119.9856,867.3004,315.3138,-261.0689,1035.6433,324.1176,47.6033,936.5992,327.6816,-504.9975,1128.665,312.6285,-187.8592,1019.2593,309.5271,-590.235,1151.8608,305.4655,-225.7315,1036.6541,304.5831,-649.278,1154.4684,299.7729,-261.7956,1034.4819,296.9854,-635.2716,1145.2349,302.2794,-212.8408,1032.3433,298.0833,-587.7627,923.299,509.8153,111.2078,869.0928,503.2707,-111.2939,943.563,656.0912,135.7876,869.9151,661.5242,-165.6047,942.2227,800.5132,262.3407,852.7367,819.624,-117.9514,931.6613,820.2546,265.7717,842.7361,843.5407,-123.4297,1007.5621,829.2795,147.8961,894.7086,859.1814,-296.8488
