Frame,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z
11,969.4654,214.9659,-107.5586,979.0446,198.928,-70.7252,984.3268,198.792,-70.7619,989.3532,198.8991,-70.8138,962.4361,200.2948,-68.6231,957.2373,200.8357,-68.6053,952.3516,201.5612,-68.5886,997.3837,207.0426,123.0321,944.9478,208.9453,134.1766,982.4968,228.389,-34.6117,960.0555,228.2698,-32.2033,1050.9084,306.9612,175.1776,897.8439,301.1519,165.1959,1073.0952,413.3661,-74.02,854.3013,399.8093,-65.1765,982.93,321.8435,-330.034,960.5857,330.0368,-307.022,970.2193,282.6323,-398.6646,970.9902,302.8746,-376.1993,973.1853,279.8039,-370.7457,968.5799,296.1866,-349.8552,976.2983,289.7923,-326.2869,967.4879,305.2538,-302.7366,1012.3329,538.1282,3.0463,917.9176,538.2556,-2.9558,1060.3547,738.145,-26.1239,883.0661,740.5111,-40.8663,1104.9242,924.6789,172.2197,846.9013,925.131,164.5905,1091.8086,953.5113,179.638,855.3412,954.2707,171.8716,1130.2702,983.0909,-62.955,818.8886,978.655,-73.819
12,969.542,215.1287,-106.4649,979.1068,199.0953,-69.6675,984.389,198.9389,-69.7045,989.4069,199.0363,-69.7563,962.4914,200.448,-67.614,957.2967,200.9788,-67.5966,952.4319,201.6821,-67.5804,997.4712,207.1101,123.9658,944.9783,209.0048,135.0299,982.6219,228.5613,-33.5558,960.1102,228.3743,-31.1454,1051.0207,307.005,175.7935,897.8448,301.2885,165.8117,1073.0818,413.4548,-73.2813,854.4131,399.9387,-64.6431,982.8375,321.8426,-329.4431,960.6184,330.1562,-306.2996,970.1427,282.9155,-398.1374,971.0529,303.1217,-375.431,973.1121,280.0218,-370.2082,968.6022,296.3688,-349.1307,976.2183,289.9069,-325.7033,967.4987,305.3958,-302.0197,1012.3821,538.1264,3.042,917.9637,538.2368,-2.9516,1060.3077,738.0959,-26.3607,883.0935,740.5128,-40.9014,1104.9218,924.6316,171.5576,846.8762,925.0591,164.0364,1091.8364,953.4349,178.9492,855.2457,954.2114,171.2714,1130.259,983.056,-63.5513,818.8974,978.5937,-74.4563
13,969.5912,215.2584,-105.5957,979.1478,199.2252,-68.8187,984.4319,199.0533,-68.8557,989.4458,199.1437,-68.9075,962.5261,200.57,-66.8051,957.3357,201.0936,-66.7879,952.4858,201.7809,-66.7722,997.5439,207.1668,124.759,945.0007,209.056,135.7361,982.7114,228.6999,-32.7024,960.1475,228.4633,-30.3001,1051.1074,307.0491,176.4057,897.8467,301.3897,166.2975,1073.0684,413.5253,-72.6536,854.4981,400.0356,-64.2447,982.7687,321.8416,-328.9159,960.6474,330.2512,-305.7936,970.0818,283.1306,-397.6519,971.1107,303.3164,-374.8924,973.0524,280.1912,-369.6904,968.6266,296.5198,-348.6314,976.1557,290.003,-325.1718,967.5118,305.5142,-301.5221,1012.4223,538.1258,3.037,918.0017,538.2229,-2.9466,1060.2674,738.0585,-26.6825,883.1212,740.5169,-41.0425,1104.9195,924.6048,170.7535,846.8536,925.0069,163.4119,1091.8597,953.3938,178.1037,855.1647,954.1691,170.6058,1130.2494,983.0301,-64.3983,818.908,978.5518,-75.1722
14,969.5951,215.7237,-105.6057,979.1759,199.6307,-68.8304,984.4696,199.4374,-68.8669,989.4854,199.5287,-68.9182,962.5306,200.873,-66.7761,957.3423,201.3465,-66.7595,952.5007,201.9776,-66.7449,997.6617,207.3376,124.2821,945.0997,209.1315,136.8415,982.7549,229.2038,-32.7122,960.1944,228.831,-30.0891,1051.4997,307.1398,175.2587,897.9896,301.4048,166.4679,1073.0711,413.524,-79.3431,854.4762,399.8964,-64.6869,982.5634,321.7068,-335.399,961.1223,330.1176,-306.0931,969.9498,283.1278,-403.7174,972.0138,303.0305,-375.2087,973.0131,280.1823,-375.8484,969.5428,296.064,-348.9048,976.0987,290.0008,-331.6669,968.2567,305.2146,-301.855,1012.443,538.1864,2.6565,917.9863,538.2026,-2.564,1060.6353,738.1119,-28.0506,882.8918,740.5152,-41.2207,1104.9162,924.5962,169.6563,846.7015,924.9963,162.7434,1091.8541,953.3883,177.0129,855.0229,954.2128,169.7828,1130.0909,983.0221,-66.2024,818.8671,978.543,-76.4237
15,969.6046,216.0452,-105.5423,979.2097,199.9149,-68.8496,984.5123,199.7097,-68.8858,989.5285,199.8007,-68.9369,962.5405,201.0869,-66.6353,957.3541,201.5261,-66.6194,952.5216,202.1175,-66.606,997.7652,207.4609,124.1027,945.182,209.1866,137.8002,982.7997,229.5524,-32.7065,960.2376,229.085,-29.7757,1051.7687,307.1934,174.6857,898.0797,301.4077,166.8919,1073.075,413.5263,-81.6827,854.4567,399.7997,-64.9069,982.4302,321.6151,-337.5772,961.408,330.0548,-306.3803,969.8668,283.1134,-405.7228,972.5337,302.8747,-375.5096,972.987,280.1669,-377.9374,970.0583,295.8067,-348.9374,976.0565,289.9976,-333.8581,968.6775,305.0421,-302.0728,1012.4615,538.2209,2.2959,917.9747,538.1783,-2.2016,1060.8853,738.1485,-28.8637,882.7528,740.5057,-41.3571,1104.9132,924.5886,169.1545,846.6043,924.9895,162.4507,1091.8549,953.379,176.5355,854.9572,954.2321,169.4105,1129.9735,983.0157,-66.956,818.8237,978.5284,-76.9565
16,969.6243,216.2572,-105.5245,979.2491,200.1124,-68.8681,984.5597,199.9002,-68.9042,989.5751,199.9903,-68.9553,962.5528,201.2424,-66.5768,957.367,201.6619,-66.5613,952.5414,202.229,-66.5485,997.8643,207.5528,123.9216,945.2416,209.2376,138.3033,982.8612,229.7911,-32.7127,960.2836,229.2656,-29.6126,1051.9709,307.2256,174.248,898.1497,301.4108,167.2133,1073.0803,413.5287,-82.8868,854.437,399.7316,-65.1286,982.3306,321.5647,-338.9378,961.5894,330.0258,-306.5869,969.7871,283.1098,-407.0419,972.8629,302.8057,-375.728,972.9535,280.1647,-379.3028,970.386,295.6819,-348.9681,976.0134,290.0003,-335.2269,968.9505,304.9567,-302.2239,1012.4734,538.247,2.0068,917.9607,538.1583,-1.9112,1061.0611,738.1839,-29.3581,882.6506,740.4928,-41.4604,1104.9102,924.5827,168.9566,846.5323,924.982,162.3107,1091.8567,953.3615,176.3619,854.9228,954.2608,169.2282,1129.8933,983.0099,-67.2692,818.7617,978.5182,-77.2187
17,969.6611,216.4419,-105.4993,979.2986,200.2806,-68.8842,984.6152,200.062,-68.9202,989.6273,200.1497,-68.9712,962.5737,201.3779,-66.5282,957.3864,201.7813,-66.5129,952.5669,202.3287,-66.5005,997.9517,207.6348,123.7982,945.2817,209.287,138.5865,982.9328,230.003,-32.7131,960.3357,229.4363,-29.4765,1052.1112,307.24,173.9377,898.2018,301.4136,167.4907,1073.0853,413.5265,-83.3753,854.4252,399.6842,-65.3207,982.2292,321.5363,-339.4436,961.6994,329.9895,-306.7359,969.7096,283.1065,-407.5293,973.0371,302.6795,-375.8897,972.9101,280.1617,-379.8112,970.5527,295.514,-348.9898,975.9573,290.0017,-335.7303,969.0967,304.8375,-302.3276,1012.486,538.2654,1.7602,917.9509,538.139,-1.6631,1061.1843,738.2095,-29.6819,882.5824,740.4789,-41.5208,1104.9065,924.5764,168.8078,846.4848,924.977,162.2367,1091.8589,953.3483,176.2326,854.905,954.2813,169.1817,1129.8118,983.0024,-67.4614,818.6955,978.5054,-77.2377
18,969.4311,218.5221,-126.0769,979.0708,203.2281,-89.8356,984.4683,203.024,-89.86,989.5578,203.1373,-89.9097,962.408,204.2147,-85.3012,957.2446,204.5876,-85.2841,952.3917,205.2301,-85.273,997.956,210.0801,102.492,945.2625,211.9402,125.8664,982.6735,231.8612,-54.2537,960.0835,231.207,-48.1867,1052.3511,310.0738,153.6299,898.1697,304.5126,156.7807,1074.5007,417.382,-109.1385,854.5371,402.7359,-79.9881,983.7346,322.6518,-380.1268,962.3281,331.5432,-327.6464,972.5755,284.2962,-450.1783,973.8988,303.5131,-397.966,974.5705,281.0938,-422.6213,971.1745,296.8359,-369.8796,977.3878,291.0327,-377.0219,969.5896,306.3999,-323.2924,1013.3882,541.1359,-0.1699,918.2307,539.1803,0.2387,1073.8886,739.7056,-68.5722,877.1427,740.4815,-83.5395,1104.9012,924.5715,140.1989,846.4397,924.8836,139.7931,1091.4275,953.4282,148.7358,855.201,954.3546,149.6185,1129.8143,983.0353,-94.2648,818.6925,978.4983,-86.2199
19,969.0355,219.3301,-136.5648,978.5498,204.402,-99.3403,984.0263,204.1531,-99.3683,989.2442,204.2564,-99.4228,962.0952,205.3981,-95.2462,956.9699,205.7606,-95.226,952.0531,206.4396,-95.2098,997.871,211.225,96.3886,945.1184,213.2424,117.5858,982.1607,232.568,-63.8185,959.7813,231.8879,-58.3739,1052.3926,311.9562,148.4304,898.1595,306.5869,147.0468,1075.26,418.9861,-115.786,854.7706,404.1693,-96.6306,984.2215,323.2983,-388.6001,962.9984,331.6504,-348.7267,973.7571,284.8936,-459.4488,974.4627,303.3656,-420.1199,975.207,281.8064,-430.8835,971.5369,296.8231,-391.6195,977.8514,291.7601,-385.2259,969.9239,306.3978,-344.3684,1013.8812,542.5932,-0.3212,918.4808,539.8882,0.3863,1077.8524,740.6345,-72.9691,874.9824,740.4818,-89.4153,1104.8449,924.5654,138.7114,846.3793,924.7713,138.2888,1090.2501,953.488,147.4921,855.2563,954.3959,148.5284,1130.1384,983.1104,-94.9363,818.925,978.4917,-86.8396
20,968.0216,219.4229,-130.9279,977.6832,204.6287,-93.9502,983.2139,204.3565,-93.9798,988.5655,204.4443,-94.0325,961.712,205.6706,-90.6127,956.6782,206.0216,-90.5934,951.7838,206.7001,-90.5761,997.6099,211.4959,99.5457,945.1215,213.7614,119.1557,980.7857,232.5634,-58.2771,958.9634,231.8817,-53.3847,1052.4073,313.0006,149.515,898.1747,307.5822,149.6727,1075.4337,419.806,-112.6286,854.9452,404.8574,-91.4259,984.3021,323.547,-378.6352,963.318,331.9803,-341.288,974.0029,285.1523,-448.1376,975.0429,303.3903,-412.535,975.4095,282.0645,-419.6109,971.91,296.8958,-385.2883,977.9806,291.9683,-375.003,970.1883,306.4971,-336.8633,1014.2162,543.298,-0.7866,918.6502,540.2679,0.8403,1079.1307,741.0771,-75.2653,874.0502,740.4501,-89.0317,1104.7592,924.5505,132.1716,846.2583,924.6496,135.0925,1089.2402,953.5041,140.6782,855.3002,954.4455,145.2228,1130.1881,983.1075,-100.5669,819.096,978.4822,-88.0935
