Frame,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z
11,943.3117,181.6494,-67.4333,934.9073,164.0558,-44.7555,933.342,163.5448,-44.804,931.4965,163.0425,-44.8361,931.9199,163.7831,-107.7556,928.4782,163.1979,-107.7504,924.578,162.6709,-107.8559,907.2257,169.1039,77.2447,902.1816,169.628,-206.8057,935.0754,199.0025,-15.383,931.4028,199.8166,-97.985,903.9387,266.4057,272.4453,894.4383,256.2086,-359.6284,1039.8081,272.617,327.3417,1032.1068,265.8372,-495.0065,1152.2059,250.5583,170.9305,1156.8367,239.9524,-513.3762,1185.3494,242.5984,162.4518,1193.7999,237.564,-594.7583,1186.5096,230.0115,100.1962,1190.4339,220.5104,-553.2923,1174.8933,232.3011,136.2443,1179.1861,220.5741,-500.3169,913.8459,490.3782,197.6631,910.5783,491.4271,-197.7628,908.372,692.6979,225.6475,904.6863,696.683,-175.1369,902.6844,867.6337,362.8155,893.9777,892.5818,-103.091,883.8493,894.9959,370.0133,873.2235,924.3168,-104.0602,980.7022,902.8781,263.4577,980.0201,937.1696,-259.7781
12,942.887,181.6565,-70.0476,934.2104,164.0608,-47.249,932.6026,163.5535,-47.2992,930.7273,163.0642,-47.3344,931.2167,163.7855,-110.4218,927.7547,163.2037,-110.4147,923.837,162.6904,-110.5202,906.4553,169.2617,75.2027,901.3687,169.7616,-209.6725,934.576,199.0414,-17.8388,930.9626,199.8291,-100.7072,904.0082,267.0324,270.3977,893.5912,256.7692,-362.5891,1039.0343,272.483,327.634,1031.0155,265.5517,-498.9293,1151.594,250.531,171.0589,1155.8144,239.1247,-518.3791,1185.1048,242.5663,162.8684,1193.0692,237.3709,-600.139,1186.2889,229.8882,100.3676,1189.8225,219.703,-558.6501,1174.4111,231.9409,136.357,1178.3281,219.2969,-505.3165,914.1929,490.6838,197.647,910.3875,491.8353,-197.7493,908.5152,693.0057,226.5033,904.5596,696.717,-175.2037,902.7116,868.0479,367.3399,893.9886,892.5692,-101.649,883.8755,895.2317,374.7812,873.2595,924.3042,-102.4841,980.6735,904.9412,266.1233,980.0235,937.44,-261.1046
13,942.6577,181.7668,-70.6442,933.7073,164.128,-47.7655,932.0373,163.6184,-47.8143,930.1198,163.1444,-47.8489,930.7601,163.8475,-111.2453,927.2785,163.2661,-111.2374,923.3516,162.7753,-111.3434,905.9308,169.4844,74.9862,900.8247,169.9551,-211.373,934.3405,199.1354,-18.2737,930.7861,199.9016,-101.5622,904.0626,267.4078,270.4181,892.9296,257.1353,-364.9908,1038.6388,272.4124,328.9003,1029.997,265.3547,-501.9035,1151.1295,250.4663,174.6393,1154.7605,238.788,-521.056,1184.9169,242.5421,166.4245,1192.4723,237.2784,-603.0343,1186.1629,229.7651,103.3381,1189.4477,219.5185,-561.7759,1174.2373,231.7291,139.6684,1177.7776,219.0821,-508.0021,914.6568,491.0779,197.6639,910.2993,492.0972,-197.7648,908.5369,693.5785,231.0562,904.1841,696.8449,-174.1586,902.7003,868.5911,379.6373,893.9107,892.8636,-92.8424,883.8269,895.7611,387.7267,873.2561,924.5932,-92.9211,980.2573,906.8412,277.0361,979.8128,938.1329,-257.0111
14,942.4435,182.0154,-69.1164,933.3794,164.3352,-46.0718,931.6655,163.81,-46.118,929.7266,163.3429,-46.1503,930.4816,164.0538,-109.8904,926.997,163.4617,-109.8796,923.0654,162.9923,-109.9861,905.6362,169.8156,76.9823,900.5744,170.244,-210.8463,934.1263,199.3,-16.6548,930.6484,200.0692,-100.4161,904.108,267.7573,272.3026,892.6047,257.3925,-364.94,1038.3797,272.2847,332.3509,1029.534,265.0389,-501.7379,1151.1706,250.3886,178.7935,1154.6222,238.643,-520.2922,1184.994,242.4903,170.8417,1192.513,237.1845,-601.8576,1186.2756,229.6085,107.4633,1189.5882,219.3755,-560.7869,1174.3811,231.5602,143.7049,1177.9423,218.9914,-507.2327,914.8634,491.2595,197.6852,910.1675,492.1803,-197.7873,908.5489,693.687,230.5642,904.0637,696.8485,-175.1842,902.6629,869.3599,375.5982,893.8988,893.1752,-93.5329,883.5434,896.8751,383.2198,873.2668,924.9147,-94.0426,979.7141,907.6144,273.2544,979.6703,938.3764,-257.3296
15,942.3025,182.0214,-72.4062,933.3528,164.3586,-49.3409,931.6433,163.8356,-49.3898,929.7114,163.3778,-49.4237,930.4127,164.0816,-112.9828,926.9258,163.4945,-112.9676,922.9772,163.0393,-113.0692,905.6244,169.8958,74.1785,900.5015,170.2967,-213.1319,934.0058,199.3053,-19.813,930.5177,200.0936,-103.4062,904.2454,267.7449,270.1538,891.8874,257.325,-367.0496,1038.3013,271.7059,331.7208,1028.7563,264.2707,-507.7782,1151.0932,249.9187,178.7335,1153.5971,237.7469,-534.2524,1185.0322,242.4186,170.6848,1191.9091,236.9304,-617.4771,1186.31,229.3244,107.3963,1189.1487,218.8432,-575.9633,1174.3595,231.0976,143.6518,1177.3424,218.1598,-521.28,914.8249,491.1605,197.6964,908.6451,491.9632,-197.7971,908.6819,693.633,230.4251,904.0271,696.4719,-177.2329,902.684,869.5657,373.4143,893.8992,893.2122,-95.7213,883.5341,897.867,380.8268,873.2562,925.1145,-96.2611,979.2309,907.8312,271.9803,979.3682,938.3721,-263.3729
16,942.1758,182.0281,-75.3802,933.312,164.3796,-52.347,931.607,163.8601,-52.3975,929.6779,163.4119,-52.4327,930.3344,164.1051,-115.7763,926.8423,163.5226,-115.7593,922.8795,163.0806,-115.858,905.5581,169.9982,71.3969,900.4133,170.3651,-215.0959,933.9132,199.3123,-22.7091,930.4087,200.1217,-106.052,904.2945,267.7285,267.6067,891.3865,257.2942,-368.4172,1038.224,271.2444,330.1847,1028.2456,263.8118,-510.2081,1150.9789,249.4436,178.2697,1152.9771,237.1443,-538.0872,1185.0509,242.3276,170.3793,1191.5584,236.775,-621.4391,1186.3322,229.0866,106.9331,1188.9411,218.5616,-580.1044,1174.3429,230.74,143.2269,1177.0454,217.7314,-525.2336,914.7691,491.0852,197.7141,907.5716,491.8019,-197.816,908.7543,693.6154,230.327,903.9941,696.2101,-177.8623,902.733,869.8138,372.0466,893.9331,893.2591,-95.9721,883.5305,898.7757,379.3433,873.2562,925.2698,-96.4468,978.9023,908.1773,270.6058,979.2031,938.3698,-265.0604
17,942.104,182.034,-75.137,933.2977,164.3972,-52.1351,931.5938,163.8817,-52.1852,929.6617,163.4427,-52.2208,930.2945,164.1254,-115.5926,926.7963,163.5475,-115.5762,922.8248,163.1185,-115.675,905.4802,170.1117,71.4268,900.3445,170.4455,-215.1561,933.8664,199.3182,-22.5345,930.349,200.1514,-105.904,904.3163,267.7112,267.573,891.0326,257.2844,-368.5926,1038.1458,270.9135,330.2652,1027.9171,263.5049,-510.2281,1150.839,249.116,178.5998,1152.6282,236.8179,-536.6278,1185.0407,242.2519,170.7345,1191.371,236.6737,-619.4645,1186.3386,228.9619,107.3966,1188.8657,218.4414,-578.234,1174.3223,230.5347,143.6087,1176.9172,217.5902,-523.7324,914.7479,491.0185,197.729,906.9311,491.676,-197.8317,908.8113,693.5887,230.1062,903.9672,696.0253,-178.3229,902.8003,870.26,371.3192,894.0091,893.4229,-96.5736,883.5277,899.8313,378.5533,873.2584,925.5221,-96.9814,978.6591,908.8094,270.252,979.1119,938.3894,-266.1086
18,942.0711,182.0368,-74.7904,933.3139,164.4003,-51.8365,931.6125,163.8873,-51.886,929.6787,163.4544,-51.9213,930.2911,164.1295,-115.2941,926.7877,163.5537,-115.2795,922.8116,163.1316,-115.3791,905.4361,170.1818,71.607,900.3033,170.4828,-214.9475,933.8552,199.321,-22.2212,930.3251,200.1752,-105.5782,904.3335,267.6671,267.6734,890.7656,257.2665,-368.4502,1038.1525,270.607,330.3393,1027.8857,263.3304,-510.0227,1150.8569,248.7986,178.7726,1152.5837,236.6879,-535.3381,1185.0609,242.047,170.9202,1191.3414,236.5782,-617.8975,1186.3677,228.7543,107.7745,1188.8801,218.3451,-576.8629,1174.3612,230.3103,143.8534,1176.9389,217.5334,-522.4428,914.7036,490.9828,197.7134,906.5308,491.5763,-197.8189,908.8629,693.5864,228.0612,903.9373,695.9746,-179.0365,902.9957,870.8859,368.0425,894.1292,893.697,-98.946,883.54,900.6775,375.0892,873.271,925.7562,-99.4646,978.6122,909.4727,265.3706,979.0901,938.4406,-267.8061
19,943.5147,181.077,-86.2815,934.9179,163.4328,-63.6471,933.0916,162.8917,-63.7161,930.9646,162.3829,-63.7615,932.0629,163.1887,-126.7576,928.5023,162.5663,-126.739,924.6837,162.0422,-126.8337,906.974,168.7374,58.5738,902.0436,169.096,-225.9246,935.5697,198.2308,-34.0315,931.9518,199.364,-116.8331,909.1347,265.8326,255.6008,891.8239,257.0703,-376.7464,1039.6068,267.6038,316.9574,1028.1586,263.1369,-518.5537,1153.6032,247.4209,159.2357,1153.0407,236.8223,-550.0313,1188.2021,241.4073,150.7279,1192.0698,237.0552,-634.2385,1188.5163,227.908,87.3879,1189.8709,218.3568,-595.7388,1176.4633,229.0717,124.4707,1178.004,217.5183,-538.4302,911.0689,491.205,197.7062,899.9979,492.0932,-197.8166,910.1362,694.1109,229.3426,905.2063,696.4545,-178.5648,903.2149,870.8966,371.2468,894.6799,893.7832,-94.5101,883.5708,900.6896,378.3045,873.3761,925.8878,-94.9402,978.4609,909.2707,269.6777,979.0862,938.3816,-261.8774
20,944.747,180.6731,-96.1009,936.2414,163.0483,-73.6273,934.3704,162.5056,-73.6946,932.1667,161.9806,-73.7376,933.3497,162.7806,-136.1068,929.7484,162.1376,-136.0906,925.9777,161.5798,-136.1795,908.3385,168.2532,49.0121,903.264,168.5222,-232.7177,936.9089,197.75,-43.7101,933.1793,199.0166,-125.7076,912.4034,265.1598,246.8952,892.3718,257.0495,-381.7298,1041.0757,266.4969,308.6216,1028.3584,263.1429,-529.3392,1154.8701,246.5023,153.0406,1153.0672,236.9293,-571.4014,1189.7652,240.6755,144.6546,1192.5726,237.4051,-657.1747,1190.0304,227.2242,81.1517,1190.7977,218.4804,-618.167,1178.19,228.3306,118.3474,1179.0374,217.5659,-559.9959,909.5924,491.2885,197.6953,896.4843,492.4483,-197.8095,911.235,694.0623,230.2307,905.8021,696.4681,-178.1678,903.2137,870.8382,373.7218,894.7092,893.7899,-93.8022,883.5729,900.0328,380.8992,873.4179,925.8752,-94.528,978.423,908.9029,272.797,979.0771,938.4161,-261.8718
21,945.2444,180.6811,-93.2635,936.821,163.0564,-70.3729,934.9547,162.5155,-70.4357,932.7821,161.9932,-70.4786,933.9128,162.7896,-134.207,930.3556,162.1483,-134.193,926.6364,161.5942,-134.2858,909.2067,168.2736,53.0788,903.9732,168.5313,-231.0281,937.3398,197.7344,-40.2096,933.6393,199.0124,-123.7385,912.8135,264.8897,250.0513,892.5714,256.8737,-378.4493,1041.4943,266.4738,310.7174,1028.4175,263.1722,-516.8928,1155.6438,246.3469,155.4743,1153.5218,237.0944,-544.1998,1190.2533,240.5024,147.2925,1193.1215,237.5516,-626.1611,1190.5585,227.1652,84.1373,1191.3438,218.6546,-588.3183,1178.941,228.2882,120.8772,1179.7159,217.7102,-532.7676,908.7527,491.3239,197.1824,895.6487,492.7239,-197.3044,911.4428,693.9449,225.794,906.8088,696.6167,-180.1355,903.0977,870.4053,359.7017,894.7963,893.7468,-105.5252,883.5306,899.3896,365.96,873.4858,925.8367,-107.2989,978.4098,907.6064,261.9008,979.2241,938.4047,-270.622
22,945.6749,180.6836,-90.6665,937.2887,163.0573,-67.7827,935.4112,162.5136,-67.8425,933.2473,161.9926,-67.8839,934.3917,162.7902,-131.7907,930.8751,162.1483,-131.7783,927.1911,161.5963,-131.8748,909.7113,168.283,55.3491,904.4785,168.5273,-230.3417,937.6868,197.6941,-37.72,934.0151,198.9937,-121.4143,913.0624,264.6757,251.6564,892.6256,256.6703,-377.5283,1041.8778,266.5394,312.2078,1028.5237,263.2076,-512.8313,1156.2307,246.3096,157.363,1153.7923,237.2406,-536.824,1190.6922,240.3612,149.1636,1193.5728,237.5992,-618.4133,1191.1073,227.1359,86.111,1191.7754,218.7537,-580.6522,1179.6969,228.2806,122.7719,1180.2399,217.8225,-525.343,908.2718,491.4009,196.9425,895.2,492.9534,-197.0687,911.5493,693.945,225.5489,907.3116,696.8703,-180.0998,903.0517,870.2888,359.3952,894.7989,893.7501,-105.4529,883.5392,899.1685,365.7429,873.4957,925.8365,-107.1326,978.4235,907.3596,261.4441,979.2494,938.4237,-270.4449
23,953.4368,181.137,-114.888,945.2949,163.7736,-91.1849,943.6244,163.2805,-91.2828,941.7347,162.8376,-91.3446,942.385,163.4156,-149.3833,939.1007,162.8088,-149.3724,935.4458,162.3306,-149.4539,919.1807,169.2051,35.5182,912.1467,169.7692,-228.854,945.8829,198.8334,-61.4953,941.5383,199.9541,-137.4069,915.9643,264.6664,234.6293,899.1845,256.8504,-377.0981,1049.3733,266.705,276.5962,1036.5367,265.0419,-508.1243,1164.6099,246.3186,120.144,1162.6396,240.1648,-525.2141,1199.2248,240.5383,114.7037,1201.1139,240.523,-606.0749,1200.1176,227.4109,53.6474,1200.87,221.3217,-568.2266,1189.1962,228.6292,86.4234,1190.2723,220.8304,-514.1385,893.2436,495.8959,193.9401,874.0127,496.7501,-194.0732,916.8414,693.5466,202.7014,909.0528,697.0286,-182.2263,903.4289,870.2431,318.3954,894.8075,893.7566,-113.6493,883.5185,899.3922,322.4324,873.4971,926.038,-117.2286,978.3767,907.1788,219.5702,979.2191,937.9977,-277.6895
